,Comments,Positive,Negative,Neutral,Compound,Sentiment
6097,lets go,0.0,0.0,1.0,0.0,Neutral
6098,follow twitter,0.0,0.0,1.0,0.0,Neutral
6099,really appreciate physician data future thank 🙏🏾,0.523,0.0,0.477,0.6697,Positive
6100,following commander ,0.0,0.0,1.0,0.0,Neutral
6101,youtube onlyif ill love it😘,0.42,0.28,0.3,0.34,Positive
6102,watching conversation careful consideration including trying datacamp vs dataquest ended subscribing month dataquest really happy  week  context even though done selfinstruction path working projects including current clients realized major holes fundamentals python r  even though currently projects every day using pandas r sql working combination realworld results things like leetcode realizing python basics really shaky  based interview video feedback value looking free resources vs paying one place organized well good teaching tool opted try month  immediately paid back learning almost exact things questions missing current knowledge  also impressed curriculum dataquest feel worth monthly payments right quickly acquire base standard data science knowledge ways  current standard practices knowledge  given  days data science challenge coming think fortunate timing ongoing efforts pivot field current area expertise online programmatic ad ops  interviews like really provide lot value us looking answers realistic honest appraisals solutions  thanks,0.245,0.026,0.728,0.9854,Positive
6103,great initiative ill following along started kaggle micro courses,0.295,0.201,0.504,0.3182,Positive
6104,ill join challenge accountability helpful learning online tomorrows tasks include setting goals creating calendarroadmap signing twitter im interested see journey different perspectives,0.373,0.093,0.533,0.7506,Positive
6105,hey ken thanks tips i’m steadily habituating many practices greater intention watching video question using small whiteboard desk similar one i’m trying determine purpose  ,0.197,0.0,0.803,0.6597,Positive
6106,hi ken entrepreneur manufacturing holds masters degree manufacturing well due pandemic close business looking opportunities data science completed courses including zero mastery course daniel bourke helped create lot interest field hoping relate data science manufacturing advise possible find job data science different educational background,0.244,0.0,0.756,0.891,Positive
6107,feel stuck also participating  buckle get focused september,0.245,0.189,0.566,0.1531,Positive
6108,data scientists work home,0.0,0.0,1.0,0.0,Neutral
6109, lets play data ,0.545,0.0,0.455,0.34,Positive
6110,thank,1.0,0.0,0.0,0.3612,Positive
6111,gem love india,0.677,0.0,0.323,0.6369,Positive
6112,hi keni wondering could find data latest season  well love videos used nbaapi doesnt seem suitable endpoint idea would helpful thanks,0.414,0.0,0.586,0.9001,Positive
6113,ive planning kickstart ds journey finalized date joining journey come sept ,0.0,0.0,1.0,0.0,Neutral
6114,awesome thanks sharing,1.0,0.0,0.0,0.8689,Positive
6115,wow l board,0.792,0.0,0.208,0.5859,Positive
6116,really dont like number  however im huge fan channel follow along,0.297,0.25,0.452,0.1842,Positive
6117,thanks hope make accountable see soon,0.592,0.0,0.408,0.7003,Positive
6118,hey ken question learning google data studios would useful data science person,0.209,0.0,0.791,0.4404,Positive
6119,cant wait join trend  😁,0.0,0.386,0.614,-0.2235,Negative
6120,man  clocks design telling different time,0.0,0.0,1.0,0.0,Neutral
6121,lets start ,0.0,0.0,1.0,0.0,Neutral
6122,thats great join journey planning start sept  keep updating twitter following daily updates thanks lot man let us taking competition kaggle,0.338,0.0,0.662,0.8481,Positive
6123,hi ken seen practical statistics data scientists book based r isnt confusing want focus python want get statistics part thanks,0.207,0.111,0.682,0.4805,Positive
6124,ill definitely getting involved thanks ken ,0.491,0.246,0.263,0.4215,Positive
6125,count kanjee let follow u twitter  subscription datacamp fine,0.205,0.0,0.795,0.2023,Positive
6126,already started learning python scratch yesterday 🤔🤔 guess im reading mind 😱😱,0.0,0.0,1.0,0.0,Neutral
6127,written abhishek thakur channel couple days ago actuallythats badass,0.0,0.167,0.833,-0.1531,Negative
6128,ken one always shows others light make people faith,0.259,0.0,0.741,0.4215,Positive
6129,wowgreat initiative thanks ken,0.492,0.0,0.508,0.4404,Positive
6130,discord slack channel,0.0,0.574,0.426,-0.4019,Negative
6131,lets go  super excited ill trying best follow along,0.574,0.153,0.273,0.8271,Positive
6132,hii ken jee start data science journey definitely say journey u help us people like definitely join u along thanks lot,0.547,0.0,0.453,0.9287,Positive
6133,obtained bachelors business management became interested data science months ago i’m taking classes pursue second bachelor’s computer science cool follow along restart data science also purchased  data science program recommendation,0.152,0.0,0.848,0.6124,Positive
6134,ken jee starting data science path would try make best initiative definitely make intimidating subject easy follow thank efforts,0.421,0.099,0.479,0.8555,Positive
6135,mad respect feel like youre type person values accountable,0.503,0.194,0.303,0.6249,Positive
6136,good initiative ken cant wait start,0.367,0.0,0.633,0.4404,Positive
6137,long time thinking building project portfolio lacking regular structure initiative probably get structure also get motivated follow thanks starting 👍,0.258,0.0,0.742,0.7096,Positive
6138,feature selection loops matplotlib,0.0,0.0,1.0,0.0,Neutral
6139,thanks videos def help lot ppl including,0.528,0.0,0.472,0.6808,Positive
6140,i’m unsure majoring data science computer science 🤷🏻‍♂️😏,0.0,0.222,0.778,-0.25,Negative
6141,really want follow initiative question already taken kaggle micro courses python pandas data visualization intro machine learning okay already somewhat headstart starting learn machine learning different book oreilly called introduction machine learning python another book recommend bit tight buying new books would ok,0.174,0.0,0.826,0.7346,Positive
6142,great really need brush get motivated,0.64,0.0,0.36,0.7964,Positive
6143,really excited,0.729,0.0,0.271,0.4005,Positive
6144,love ken thoughtful youwould starting,0.694,0.0,0.306,0.7783,Positive
6145,thanks recommendations ken really appreciate want dive machine learning math statistics knowledge good enough yet think book think stats good book learn statistics basics learning statistics book hands machine learning good beginners,0.383,0.0,0.617,0.9345,Positive
6146,thank  i’m want learn data science boot camp expensive right   i’m free camp software engineering i’m finally starting learn tech  hope next year coursea hopefully make break data science  aren’t lot black people field seems i’m nervous 😩,0.277,0.046,0.677,0.8625,Positive
6147,joining well,0.677,0.0,0.323,0.2732,Positive
6148,ready,1.0,0.0,0.0,0.3612,Positive
6149,literally sponsored  lmao aint trusting,0.426,0.247,0.328,0.3903,Positive
6150,hi graduate civil engineering want work data science ive learning  months planning next step  think another graduation especialization field,0.067,0.0,0.933,0.0772,Positive
6151,looking forward statistics part,0.0,0.0,1.0,0.0,Neutral
6152,inspired take peek abhisheks book   seemed legit   purchased,0.314,0.0,0.686,0.4939,Positive
6153,thank ken great resources inspired start data science journey fastai also launched new free course recently great resource learn deep learning,0.555,0.0,0.445,0.9565,Positive
6154,really appreciate backtobasics reset  thanks ken  looking forward,0.496,0.0,0.504,0.7089,Positive
6155,fucking pumped dude,0.0,0.0,1.0,0.0,Neutral
6156,bought  data science complete bootcamp udemy would work along initiative,0.0,0.0,1.0,0.0,Neutral
6157,hi kenthank much came havean mei started learning around month ago im lost 🤪for electrical engineer industrial oil  gas data science like different planetmy mathematical background strong coding experience absolute zeroi found really taken data sciencefor focus python see rest thatcheck freecodecamporg great program free certificate youtube videos made university doctorsgreat job hero🏆believe im cheering man like made triple points big dunk🏀 ken jee  hoo hoo📣 ken jee  hoo hoo📣 ken jee  hoo hoo📣,0.215,0.026,0.759,0.9493,Positive
6158,great initiative would slack discord channel people want follow journey update,0.335,0.168,0.497,0.4019,Positive
6159,anyone thinking learning skills data science career even personal hobby johns hopkins university created paywhatyouwant training series  courses targeting beginners complete novice benefit courses get feet wet whet appetite  whichever analogy prefer  ,0.143,0.0,0.857,0.6124,Positive
6160,hello keni think really positive moverefreshing knowledge always something beneficial think great coursefor audience since also wanted widen horizon bit ill try take bit time day learn well dont acutally use twitter ill keep track regardlesshappy learning ,0.262,0.113,0.625,0.8122,Positive
6161,commenting vid ends address wink  nice touch lol,0.483,0.0,0.517,0.6808,Positive
6162,hey ken setting discord server community better help communicate thanks lot man keep,0.421,0.134,0.446,0.7003,Positive
6163,hi ken could post daily work linkedin well besides twitter,0.189,0.0,0.811,0.2732,Positive
6164, thats fantastic idea ken  using daniel bourkes  day learning strategy worked well beginner strategy helped waste time getting overwhelmed vast areas topics learn data science picked basic projects focus learn using reverse engineering  days fruitful endeavor looking forward learn man  ,0.151,0.061,0.788,0.4767,Positive
6165,rare people accept downsides publically good wishes ken jee,0.542,0.0,0.458,0.7269,Positive
6166,hey kenthanks lot taking initiative ill definitely join upjust wanted make suggestion hereitll great make whatsapp group end course community people similar stag data science journey  colobrate  take forward projectsagain thanks really excited,0.329,0.063,0.608,0.8955,Positive
6167,hey ken dont twitter discord group collaborate community share progress learn motivate ,0.552,0.0,0.448,0.8342,Positive
6168,bro start software development skills ie excelling python mathematics directly jump data science concepts recently month two fro programming python think somewhat intermediate level please suggest,0.187,0.0,0.813,0.6743,Positive
6169,think one biggest obstacles learning python actually practicing syntax memorizing many different functions needed code websites you’re using practice syntaxfunctions solving given problems common using python,0.078,0.173,0.749,-0.4404,Negative
6170,thanks  lot sir  much us best  🙏,0.64,0.0,0.36,0.7964,Positive
6171,lets go,0.0,0.0,1.0,0.0,Neutral
6172,cant thank enough man honest didnt friend prepare data science looking desperately someone turned ken jee person understood data science basically owe big time man thank thank much surely keep updated progress thank man thank,0.181,0.317,0.502,-0.5828,Negative
6173,hi ken initiative amazing going upload videos  days sharing process twitter account,0.398,0.0,0.602,0.765,Positive
6174,,0.0,0.0,0.0,0.0,Neutral
6175,thanks ken sharingexcited start  question three clocks wall curious😅😅😅😅 know  showcase,0.225,0.0,0.775,0.4404,Positive
6176,wink  wink month,0.0,0.0,1.0,0.0,Neutral
6177,also upload youtube videos learning,0.0,0.0,1.0,0.0,Neutral
6178,feeling stuck  learning video excellent incentive move forward projects,0.524,0.136,0.34,0.6908,Positive
6179, learning  relearning initiative comes ideal time start geospatial data analytics graduatelevel program labour day,0.207,0.0,0.793,0.5267,Positive
6180,twitter linkedin,0.0,0.0,1.0,0.0,Neutral
6181,let’s this😊,0.0,0.0,1.0,0.0,Neutral
6182,ill following thank,0.397,0.444,0.159,-0.0772,Negative
6183,hands ml keras  tensorflow indeed really good  enjoying well  talk getting stuff book doesnt lead data processing goes straight analysis  deliberate move author get interest talking necessities,0.391,0.0,0.609,0.9207,Positive
6184,hello ken looking forward learning data science,0.0,0.0,1.0,0.0,Neutral
6185,hi ken exciting really looking forward initiative wanted ask twitter linkedin posting daily updates  ,0.198,0.0,0.802,0.4939,Positive
6186,sir please improve lighting light video looks dull,0.403,0.209,0.388,0.3612,Positive
6187,really dont need start first time enough haha,0.3,0.0,0.7,0.4588,Positive
6188,please instagram,0.697,0.0,0.303,0.3182,Positive
6189,unofficial discord server reply official one exists,0.0,0.31,0.69,-0.4019,Negative
6190,excited looking 😍,0.706,0.0,0.294,0.34,Positive
6191,ken jee basic kaggle projects learn,0.0,0.0,1.0,0.0,Neutral
6192,discord great,0.603,0.397,0.0,0.34,Positive
6193,irony ken sir every time wanted anything made video get solution problems,0.151,0.257,0.592,-0.1531,Negative
6194,excited join hopefully  days becomes  days p,0.709,0.0,0.291,0.743,Positive
6195,waiting long time👍🏻,0.0,0.0,1.0,0.0,Neutral
6196,create video comparing data science fields ds actuary,0.231,0.0,0.769,0.2732,Positive
6197,hi keni actually worked building simple youtube video categorization model using title description plotted text metadata using tsne plot could see videos category compressed together rather scattered around forming occasional blobs different category videos clustered togetherso wanted know youtube actually categorize videos titledescription doesnt seem specificlink  thanks always making amazing content,0.069,0.044,0.888,0.3387,Positive
6198,soo excited,0.706,0.0,0.294,0.34,Positive
6199,add linear algebra well taught appliedai course im searching resources learn havent found anyone yet,0.13,0.0,0.87,0.2732,Positive
6200,video huge shot motivation ive using past couple months begin journey towards working data analytics field since losing job covid interview extremely helpful reinforcing things already well making aware things wasnt congratulations ray success breaking data analytics field thank ken providing helpful content area,0.261,0.148,0.591,0.6948,Positive
6201,finally  days data herei started upload dataset kaggle,0.0,0.0,1.0,0.0,Neutral
6202,hi ken great content usual thank much helps  lot,0.605,0.0,0.395,0.8481,Positive
6203,hello ken great see prerequisites seriei taken stats class intro datascience class experience r enough follow along thank ken 😁,0.292,0.0,0.708,0.765,Positive
6204,im getting follwing error imapunorderediterator object attributeplease advise,0.0,0.278,0.722,-0.4019,Negative
6205,woo excited follow along one  revising basics never bad idea lets,0.511,0.0,0.489,0.81,Positive
6206,want start data science right path show us ken,0.14,0.0,0.86,0.0772,Positive
6207,really looking forward hope also touch upon important learn deploymentpipelines go,0.355,0.0,0.645,0.6077,Positive
6208,im excited patiently waiting ✨,0.444,0.0,0.556,0.34,Positive
6209,thing wanted,0.0,0.0,1.0,0.0,Neutral
6210,speaking related comment message followers ken jeehow meeting regular basis kaggle talking progresses course help share notes even better work together project good enough one days ps discord chat voice might also useful willing help establish case ,0.333,0.055,0.612,0.9118,Positive
6211,already process taking habits ml every day thats requirement think youre beginning new field als recently started using bullet journal record investment progress field since still trying sort things tracking progress trying establish clearer road map seeing computer morning came incredibly great blessing thank   question could us rest community also discussion say kaggle regular basis feel like newcomers like would help navigate kaggle maelstrom less intimidated well clearer road mapas would help reexamine fundemantals teaching well helping establish good proficient teacher passion field teaching best intentions assume followers students start becoming proficient say ken jee instrumental  well  really hoping open doors best ones saying ,0.371,0.019,0.61,0.9928,Positive
6212,super excited lets rock ken,0.677,0.0,0.323,0.743,Positive
6213,thanks amazing initiative would love join much learn let stock books suggested 😁,0.621,0.0,0.379,0.9201,Positive
6214,really excited cant wait longer,0.402,0.0,0.598,0.4005,Positive
6215,ken jee playing dota  days 😂jokes aside awesome value give data science community massive thank much 👊,0.474,0.0,0.526,0.8689,Positive
6216,epic muchawaited one,0.0,0.0,1.0,0.0,Neutral
6217,excited please guide us right path ken senpai,0.439,0.0,0.561,0.5719,Positive
6218,wow im starting id love join im currently working harvardx cert john hopkins lined afterwards ill squeeze courses appropriate ,0.364,0.1,0.536,0.8126,Positive
6219,wow really excited journey ,0.765,0.0,0.235,0.7574,Positive
6220, lets this🔥🔥🔥🔥,0.0,0.0,1.0,0.0,Neutral
6221,oh man  looking forward ❤️,0.0,0.0,1.0,0.0,Neutral
6222,may ask ide use run python codes data science works,0.0,0.0,1.0,0.0,Neutral
6223,thank much ken  looking forward 😊,0.385,0.0,0.615,0.3612,Positive
6224,long plan grinding day,0.0,0.0,1.0,0.0,Neutral
6225,hi ken really enjoy video,0.466,0.0,0.534,0.5413,Positive
6226,following tipsits pretty good promisingfavourite video would learn data science start overcant wait todays video,0.319,0.0,0.681,0.7269,Positive
6227,hi ken prior experience analysis excel  however  consider beginner recently acquire knowledge python hope help understand efficientlylooking forward thanks,0.434,0.0,0.566,0.8885,Positive
6228,sweet mother good purehello ken could also mention  important topics learn sequence wise like really confused embeddings models like bertglove etcit would really help could explained  used  example videothanks eagerly waiting,0.465,0.056,0.478,0.9501,Positive
6229,hey ken beginners follow along  well im really new field data science,0.16,0.0,0.84,0.2732,Positive
6230,"im excited start  initiative september  follow along also participate twitter     discord server resources im using  videos referencedkaggle  data science   monthly   one year hands machine learning practical statistics data scientists how approach almost ml problem start learning data science best free online courses interview abhishek ",0.183,0.095,0.722,0.6983,Positive
6231, point biggest hadicap ,0.0,0.0,1.0,0.0,Neutral
6232,great interview totally  days data challenge,0.586,0.0,0.414,0.6872,Positive
6233,data analytics future,0.0,0.0,1.0,0.0,Neutral
6234,thanks ken podcast certainly enlightening listening amazing discussion lots practical tips 😃,0.639,0.0,0.361,0.9081,Positive
6235,inclusive loc exclusive iloc end range got confused thinking missed something lol really great content ken started getting data science videos helped lot thanks lot man,0.321,0.125,0.554,0.796,Positive
6236,course contain end end projects build portfolio behave data science interview expect,0.0,0.0,1.0,0.0,Neutral
6237,great guide motivation kagglers dont get disappointed low scores never give,0.608,0.0,0.392,0.871,Positive
6238,hey ken would say knowing algorithms important becoming data scientist love deep learning analytics heavy cs topics like algorithms data structures bore death,0.262,0.182,0.556,0.3818,Positive
6239,found kaggle existed thanks alot ken,0.367,0.0,0.633,0.4404,Positive
6240,kenim looking forward course related sports analytics,0.0,0.0,1.0,0.0,Neutral
6241,thanks effort put ken takes lot effort time making videos help well communityi enormous interest towards sports want contribute field however came across videos really like way videos organisedkeep good work mate,0.414,0.0,0.586,0.9402,Positive
6242,hello ken jee♥️ one old subscriber  wanted tell could make video take interview fresher data scientistlike proper interview please make  video  anyone agrees plz give like let know,0.248,0.0,0.752,0.7096,Positive
6243,hey ken thanks great contenthave ever thought uploading episodes like podcast tooi think wo additional effort many would benefit  really functional,0.424,0.0,0.576,0.91,Positive
6244,hey guys new need class sh mabye someone could help begin cant even install module idea ive searched tried bit found solution yet second basically need turns around need program show players range around search certain stat anyone know help tell find help would really grateful everyone nice day,0.31,0.0,0.69,0.9506,Positive
6245,im start masters data science im still afraid kaggle 😛,0.0,0.0,1.0,0.0,Neutral
6246,mentioned starting python r important sql think learning sql would good someone learning code,0.299,0.0,0.701,0.5719,Positive
6247,undergraduate degree finance considering entering data science field local university offers postbaccalaureate certificate data analytics would need take courses complete certificate data mining database management big data management  think good way start data analytics  courses complete certificate would also count towards masters data analytics,0.063,0.0,0.937,0.4404,Positive
6248,getting error hugo server failed extract shortcode template shortcode formcontact foundany help would appreciated  thanks,0.357,0.241,0.402,0.4404,Positive
6249,hey ken programming really important  i’m really good programming 😅,0.43,0.0,0.57,0.647,Positive
6250,great video tried working linux distribution,0.451,0.0,0.549,0.6249,Positive
6251,use c programming language fine useless,0.237,0.368,0.395,-0.25,Negative
6252,excellent helpful,1.0,0.0,0.0,0.7579,Positive
6253,hi ken jee thank vid informative video couldnt find elsewhere wanna become political analyst sentimental analysis used rather statistics help direct achieve pol science student foundational knowledge python still learning,0.217,0.0,0.783,0.7579,Positive
6254,thank ken interview motivates work data science kaggle,0.263,0.0,0.737,0.3612,Positive
6255,god videos make wanna learn click damn thank man lots love,0.476,0.146,0.378,0.7269,Positive
6256,said everything 🤣,0.0,0.0,1.0,0.0,Neutral
6257,hello ken fortunate spot option attain accelerated masters degree completely free  year program  coterminal said going attending illinois  itech would love know thoughts attaining accelerated masters computer science data science pros cons two acquiring bachelors computer science wondering would beneficial acquire data science degree internship opportunities town chicago master cs intrigued computer science data science lean towards mastering data feel like bachelors cs already enough people said masters cs viewed valuable respectable versatile anyways expert opinion would great please,0.311,0.0,0.689,0.9836,Positive
6258,thanks sharing found channel  months ago videos definitely improved,0.697,0.0,0.303,0.8885,Positive
6259,awesome conversation guys  tips around kaggle pretty useful,0.671,0.0,0.329,0.8807,Positive
6260,algorithms  awesome interview,0.672,0.0,0.328,0.6249,Positive
6261,could recommend books cover probablity statistics needed data science thanks,0.403,0.0,0.597,0.6597,Positive
6262,completely agreed however would step get proficient coding python statsmachine learning algorithms coding interviews,0.155,0.0,0.845,0.3384,Positive
6263,get andrew wangs course,0.0,0.0,1.0,0.0,Neutral
6264,really appreciate content interviews youre putting honestly helps lot tweaking pathi think motivational since field wayyy complex kaggle  community grown lot thankyou,0.311,0.0,0.689,0.8221,Positive
6265,starting beginner competition told,0.0,0.0,1.0,0.0,Neutral
6266,another amazing video thank ken,0.677,0.0,0.323,0.743,Positive
6267,gold thanks amazing content,0.77,0.0,0.23,0.7717,Positive
6268,nice video ken thanks video  motivational become active kaggle,0.583,0.0,0.417,0.8126,Positive
6269,hi ken one internship related data science also worked newsagent hostel taught english voluntary project think mention well  compensate lack experience projects mention one internship  thank time really respect answering comments videos,0.209,0.06,0.731,0.6901,Positive
6270, month also starting kaggle journey titanic dataset already spent  days thinking many days gonna thought gonna say week,0.0,0.0,1.0,0.0,Neutral
6271,"hope interview inspires get started kaggle special thanks abhishek abhisheks youtube listen kens nearest neighbors main podcast platforms on apple podcasts  please rate enjoy iton spotify on google on youtube  trying get  start tagging youtube guestshis twitter new book ",0.332,0.0,0.668,0.9423,Positive
6272,informative inspiring kenthanks sharing 😊,0.737,0.0,0.263,0.6808,Positive
6273,nice discussion ,0.737,0.0,0.263,0.4215,Positive
6274,thanks ken sharing interesting interview,0.808,0.0,0.192,0.8126,Positive
6275,abhishek takhur one ds leader,0.0,0.0,1.0,0.0,Neutral
6276,love interview ken video motivated active compete kaggle,0.664,0.0,0.336,0.872,Positive
6277,amazing every interview surprise definitely relieving hear even people like sometimes struggle data science ecosystem goes show everyone struggles still possible come succesfully even exactly struggle,0.351,0.183,0.465,0.7579,Positive
6278,great content nuggets serious gold,0.488,0.155,0.357,0.5859,Positive
6279,great vid ken video informative kaggle beginner like,0.524,0.0,0.476,0.765,Positive
6280,thanks video ken videos help lot,0.583,0.0,0.417,0.6808,Positive
6281,keep going ken amazing content always,0.432,0.0,0.568,0.5859,Positive
6282,love content ken much love south africa 🇿🇦🔥❤️,0.583,0.0,0.417,0.8555,Positive
6283,first view 😁,0.0,0.0,1.0,0.0,Neutral
6284, favourite youtubers coming together,0.0,0.0,1.0,0.0,Neutral
6285,entered stage  ,0.0,0.0,1.0,0.0,Neutral
6286,wow really impressive resume level detail put projects insane especially someone even different backgroundi think would great see tina danny review projects well would probably give attention platform well ,0.379,0.065,0.556,0.9184,Positive
6287,name model overfit power tempting make mistake overfit model,0.0,0.231,0.769,-0.34,Negative
6288,dude terrible explaining things pedagogical impossible follow quick scrolling,0.0,0.279,0.721,-0.4767,Negative
6289,commerce student background financial management accountsi looking forward something would integrate finance data analyticsshould start python r…¿or ur suggestion thanks advance,0.127,0.0,0.873,0.4404,Positive
6290,really helpful thanks,0.862,0.0,0.138,0.7408,Positive
6291,"hey ken sure saw response made scraping glassdoor video code scrapes titles glass door main advantages efficientcode wise much faster selenium also beautiful soup super scalable library illustrates power scraping tools want scale larger level recommend learning scrapy additionally also tool available lets select exact css element webpage relink anyways code scrapes job titles glassdoor  import beautifulsoupfrom urllibrequest import urlopenrequestimport pandas pd import randomimport pickleheaders  useragent  windows nt   khtml like gecko  website  for     req  requestwebsite headersheaders    page  urlopenreq    soup  beautifulsouppage htmlparser    item soupselectjoblink span        printitemgettextlastly may wondering go different pages code scrape elements front page website well answer former would implement technique called pagination link article latter would scrape link website iterate page collecting elements contained page",0.177,0.0,0.823,0.9686,Positive
6292,data analytics studied computer science feel im confident programming yet feel data science needs programming statistics data analytics start data analytics thoughts,0.132,0.0,0.868,0.4939,Positive
6293,congratulations hitting  growing subscribers altered goal viewing trafficanalytics channel,0.444,0.0,0.556,0.6808,Positive
6294,thank awesome,1.0,0.0,0.0,0.765,Positive
6295,think could searched  r  find r studio hard someone write  r like ,0.229,0.128,0.642,0.2732,Positive
6296,thank ken jeeim learning data science video inspired maybe make blog share learning progress difficulties beginneretc,0.448,0.092,0.46,0.8176,Positive
6297,hi kenis freelancing viable option data science career stick one company,0.123,0.0,0.877,0.1027,Positive
6298,feel bad projects amazing,0.409,0.376,0.215,0.0772,Positive
6299,dont think kind secrets taking credibility data scientists memorizing every bit code knowing get help knowing looking,0.132,0.136,0.733,-0.0196,Neutral
6300,hey ken recommend best universities get masters degree ds,0.489,0.0,0.511,0.7717,Positive
6301,watch videos awesome biggner want learn data science form zero soo plz tell start journey,0.358,0.0,0.642,0.6908,Positive
6302,hey man master sports analytics melbourne australia coming sports science background definitely took awhile learn programming stuff generally use r course btw still try find way step sports analytics industry combine knowledge sports science sports analytics definitely cool hahaha,0.249,0.0,0.751,0.8834,Positive
6303,review options sound good,0.492,0.0,0.508,0.4404,Positive
6304,sir one question really need expert maths data scientist   im actually mathematics field  pursue drop  🙏,0.0,0.13,0.87,-0.2732,Negative
6305,hey kenhow would treat udacity nanodegrees inbetween bootcamp certificates towards certificate sidefor situation electrical eng background minor programming exp top head id probably upskill statistics programming top data science skills build foundation right,0.174,0.0,0.826,0.6486,Positive
6306,loving channel lot ken definitely take course brush basic skills knowledge keep man,0.375,0.0,0.625,0.765,Positive
6307,hello sir thanks project please make video datascience project using image datasets,0.342,0.0,0.658,0.6369,Positive
6308,priyanka roy head data  artificial intelligence intergen talks vision ai strategy engati cx says companies spend time know problem work user bring technology also mentions data extremely important every ai strategy backed data,0.213,0.069,0.718,0.5563,Positive
6309,sir get notification email one entering details portfolio,0.0,0.0,1.0,0.0,Neutral
6310,amazing portfolio great review ken,0.725,0.0,0.275,0.836,Positive
6311,thanks updating discount unfortunately way buy order form active,0.4,0.171,0.429,0.4939,Positive
6312,data science vs data analytics what’s difference,0.0,0.0,1.0,0.0,Neutral
6313,"thank much looking way host local server crunching baseball stats nailed setupi ended following queries fun noticed went save view got errorcolumn names view function must unique column name playerid view function winningpitchers specified oncei found curious since thats quoted join",0.273,0.0,0.727,0.91,Positive
6314,software engineer net background barely month journeying data science channel inspiration look forward learning channel cheers rwanda east africa,0.277,0.0,0.723,0.7579,Positive
6315,pursuing thanks information enjoying content,0.677,0.0,0.323,0.743,Positive
6316,im  years game almost masters degree data science recruiters treat like im nothing educational experience isnt real hundreds applications thoughtful cover letters zero interviews project portfolio needs update honestly dont know im data scientist cant even secure unpaid data analyst internship interview advice welcome,0.256,0.038,0.706,0.8948,Positive
6317,almost time submit mine amazing portfolio great review ken,0.53,0.0,0.47,0.836,Positive
6318,better internships work freelancer ,0.714,0.0,0.286,0.6124,Positive
6319,thank ken much feedback love youre youtube love critical feedback welcome share projects anything elsei hadnt actually touched website much github summer working research projects university among things great motivation get back update everything also inspired start sharing work world,0.47,0.038,0.493,0.9783,Positive
6320,people dislike wtf,0.0,0.865,0.135,-0.7506,Negative
6321,"special thanks alexander would like projects resumes portfolio reviewed please comment email kenjeedsgmailcom resume review alexanders website tinas channel dannys channel ",0.38,0.0,0.62,0.8555,Positive
6322,thanks posting,0.744,0.0,0.256,0.4404,Positive
6323,somehow sense getting niche buddy  good job,0.326,0.0,0.674,0.4404,Positive
6324,thank ken really helpful ,0.737,0.0,0.263,0.6801,Positive
6325,congrats ken  alexanders portfolio website looks really nice clean trivago project looks amazing nicely structured goes great depth underlying math well summarizing key findings several data visualization plots almost looks like research paper perhaps would nice format research paper key sections abstract introduction materials  methods results  discussion conclusion acknowledgements references upload arxivorg preprint might even look good resume also 😃,0.384,0.0,0.616,0.9828,Positive
6326,nice employers line good luck alexander,0.744,0.0,0.256,0.8271,Positive
6327,video start data science journey less one year graduate university i’m majoring data analytics university recently made data science major wasn’t able declare may overwhelmed help appreciated,0.231,0.0,0.769,0.7351,Positive
6328,learned python quarantine also want make projects got data science field though im familiar ml concepts im learning want project ideas could add resume right im beginners level project like titanic survival wine quality one want projects could get jobs idea search,0.144,0.0,0.856,0.5267,Positive
6329,i’ve meaning send mine i’m terrified roasted publicly,0.0,0.364,0.636,-0.6124,Negative
6330,put message since last video wondering video following subjecthow interact kaggle attract attention people kind helpful likewise newbie like make contribution beginners kaggleand general best ways interact platform ask believe finding form mentorship experienced people one biggest key advantages get learning field ml particular  youtube videos frank kane courses sundog good example course gaining kind direct mentorship goes hand hand able help make contributions return seems whole philosophy kaggle wondering would willing share secrets  fully admit looks bit intimidating first sight  case thanks youtubes videos ,0.376,0.025,0.599,0.9894,Positive
6331,hi ken recommended sort data collection element involved projects would show including datasets project files  explaining writeup way show people data collection process isalso would able make video working big data  hadoop sometime future thats something youve experience,0.046,0.0,0.954,0.2023,Positive
6332,im excited  days data idea really helpful interview,0.478,0.0,0.522,0.6697,Positive
6333,something wrong promotion yearly price  please correct update,0.202,0.272,0.526,-0.2023,Negative
6334,remove nan null values outliers dataset,0.351,0.0,0.649,0.4019,Positive
6335,informative video love tone style talking,0.457,0.0,0.543,0.6369,Positive
6336,advice someone cant afford finish degree right nowi  years applied mathematics,0.0,0.0,1.0,0.0,Neutral
6337,needed right nowthanks including people side spectrumthe beginners,0.0,0.0,1.0,0.0,Neutral
6338,hi ken wanted say thank much  youtube day looking good  video data science  trying get job data science degree international studies new dont know start,0.19,0.0,0.81,0.6597,Positive
6339,someone who’s good maths go data science career path,0.266,0.0,0.734,0.4404,Positive
6340,pro tip play video  play speed thank later,0.593,0.0,0.407,0.743,Positive
6341,wholesome clickbait worked  purchased course udemy sale  thanks making great resource cheers ,0.529,0.0,0.471,0.8779,Positive
6342,hi im mathematics major college student ive recently started working data science find making projects quite hard dont ideas start would great could help,0.231,0.057,0.712,0.7275,Positive
6343,hello recommend learning necessary statistics needed data science,0.263,0.0,0.737,0.3612,Positive
6344,thanks lot ken please make video software programming skills essential data scientist job currently learning deeplearning python still pretty weak data visualization plotting learn data visualization libraries python softwares learn use,0.219,0.076,0.705,0.6705,Positive
